rene@rene-VirtualBox:~/Development/os-report-modules$ less /var/log/syslog | grep 'HIGHMEM'
Nov 10 11:59:12 rene-VirtualBox kernel: [ 4764.578956] [HIGHMEM]: array[96] = [96]
Nov 10 11:59:12 rene-VirtualBox kernel: [ 4764.578956] [HIGHMEM]: array[97] = [97]
Nov 10 11:59:12 rene-VirtualBox kernel: [ 4764.578956] [HIGHMEM]: array[98] = [98]
Nov 10 11:59:12 rene-VirtualBox kernel: [ 4764.578957] [HIGHMEM]: array[99] = [99]
Nov 10 11:59:12 rene-VirtualBox kernel: [ 4764.578957] [HIGHMEM]: array[100] = [100]
Nov 10 11:59:12 rene-VirtualBox kernel: [ 4764.578957] [HIGHMEM]: array[101] = [101]
Nov 10 11:59:12 rene-VirtualBox kernel: [ 4764.578958] [HIGHMEM]: array[102] = [102]
Nov 10 11:59:12 rene-VirtualBox kernel: [ 4764.578958] [HIGHMEM]: array[103] = [103]
Nov 10 11:59:12 rene-VirtualBox kernel: [ 4764.578958] [HIGHMEM]: array[104] = [104]
Nov 10 11:59:12 rene-VirtualBox kernel: [ 4764.578959] [HIGHMEM]: array[105] = [105]
Nov 10 11:59:12 rene-VirtualBox kernel: [ 4764.578959] [HIGHMEM]: array[106] = [106]
Nov 10 11:59:12 rene-VirtualBox kernel: [ 4764.578959] [HIGHMEM]: array[107] = [107]
Nov 10 11:59:12 rene-VirtualBox kernel: [ 4764.578960] [HIGHMEM]: array[108] = [108]
Nov 10 11:59:12 rene-VirtualBox kernel: [ 4764.578960] [HIGHMEM]: array[109] = [109]
Nov 10 11:59:12 rene-VirtualBox kernel: [ 4764.578960] [HIGHMEM]: array[110] = [110]
Nov 10 11:59:12 rene-VirtualBox kernel: [ 4764.578961] [HIGHMEM]: array[111] = [111]
Nov 10 11:59:12 rene-VirtualBox kernel: [ 4764.578961] [HIGHMEM]: array[112] = [112]
Nov 10 11:59:12 rene-VirtualBox kernel: [ 4764.578961] [HIGHMEM]: array[113] = [113]
Nov 10 11:59:12 rene-VirtualBox kernel: [ 4764.578962] [HIGHMEM]: array[114] = [114]
Nov 10 11:59:12 rene-VirtualBox kernel: [ 4764.578962] [HIGHMEM]: array[115] = [115]
Nov 10 11:59:12 rene-VirtualBox kernel: [ 4764.578962] [HIGHMEM]: array[116] = [116]
Nov 10 11:59:12 rene-VirtualBox kernel: [ 4764.578963] [HIGHMEM]: array[117] = [117]
Nov 10 11:59:12 rene-VirtualBox kernel: [ 4764.578963] [HIGHMEM]: array[118] = [118]
Nov 10 11:59:12 rene-VirtualBox kernel: [ 4764.578963] [HIGHMEM]: array[119] = [119]
Nov 10 11:59:12 rene-VirtualBox kernel: [ 4764.578964] [HIGHMEM]: array[120] = [120]
Nov 10 11:59:12 rene-VirtualBox kernel: [ 4764.578964] [HIGHMEM]: array[121] = [121]
Nov 10 11:59:12 rene-VirtualBox kernel: [ 4764.578964] [HIGHMEM]: array[122] = [122]
Nov 10 11:59:12 rene-VirtualBox kernel: [ 4764.578965] [HIGHMEM]: array[123] = [123]
Nov 10 11:59:12 rene-VirtualBox kernel: [ 4764.578965] [HIGHMEM]: array[124] = [124]
Nov 10 11:59:12 rene-VirtualBox kernel: [ 4764.578965] [HIGHMEM]: array[125] = [125]
Nov 10 11:59:12 rene-VirtualBox kernel: [ 4764.578966] [HIGHMEM]: array[126] = [126]
Nov 10 11:59:12 rene-VirtualBox kernel: [ 4764.578966] [HIGHMEM]: array[127] = [127]
Nov 10 11:59:12 rene-VirtualBox kernel: [ 4764.578966] [HIGHMEM]: array[128] = [128]
Nov 10 11:59:12 rene-VirtualBox kernel: [ 4764.578966] [HIGHMEM]: array[129] = [129]
Nov 10 11:59:12 rene-VirtualBox kernel: [ 4764.578967] [HIGHMEM]: array[130] = [130]
Nov 10 11:59:12 rene-VirtualBox kernel: [ 4764.578967] [HIGHMEM]: array[131] = [131]
Nov 10 11:59:12 rene-VirtualBox kernel: [ 4764.578967] [HIGHMEM]: array[132] = [132]
Nov 10 11:59:12 rene-VirtualBox kernel: [ 4764.578968] [HIGHMEM]: array[133] = [133]
Nov 10 11:59:12 rene-VirtualBox kernel: [ 4764.578968] [HIGHMEM]: array[134] = [134]
Nov 10 11:59:12 rene-VirtualBox kernel: [ 4764.578968] [HIGHMEM]: array[135] = [135]
Nov 10 11:59:12 rene-VirtualBox kernel: [ 4764.578969] [HIGHMEM]: array[136] = [136]
Nov 10 11:59:12 rene-VirtualBox kernel: [ 4764.578969] [HIGHMEM]: array[137] = [137]
Nov 10 11:59:12 rene-VirtualBox kernel: [ 4764.578969] [HIGHMEM]: array[138] = [138]
Nov 10 11:59:12 rene-VirtualBox kernel: [ 4764.578970] [HIGHMEM]: array[139] = [139]
Nov 10 11:59:12 rene-VirtualBox kernel: [ 4764.578970] [HIGHMEM]: array[140] = [140]
Nov 10 11:59:12 rene-VirtualBox kernel: [ 4764.578970] [HIGHMEM]: array[141] = [141]
Nov 10 11:59:12 rene-VirtualBox kernel: [ 4764.578971] [HIGHMEM]: array[142] = [142]
Nov 10 11:59:12 rene-VirtualBox kernel: [ 4764.578971] [HIGHMEM]: array[143] = [143]
Nov 10 11:59:12 rene-VirtualBox kernel: [ 4764.578971] [HIGHMEM]: array[144] = [144]
Nov 10 11:59:12 rene-VirtualBox kernel: [ 4764.578972] [HIGHMEM]: array[145] = [145]
Nov 10 11:59:12 rene-VirtualBox kernel: [ 4764.578972] [HIGHMEM]: array[146] = [146]
Nov 10 11:59:12 rene-VirtualBox kernel: [ 4764.578972] [HIGHMEM]: array[147] = [147]
Nov 10 11:59:12 rene-VirtualBox kernel: [ 4764.578973] [HIGHMEM]: array[148] = [148]
Nov 10 11:59:12 rene-VirtualBox kernel: [ 4764.578973] [HIGHMEM]: array[149] = [149]
Nov 10 11:59:12 rene-VirtualBox kernel: [ 4764.578973] [HIGHMEM]: array[150] = [150]
Nov 10 11:59:12 rene-VirtualBox kernel: [ 4764.578974] [HIGHMEM]: array[151] = [151]
Nov 10 11:59:12 rene-VirtualBox kernel: [ 4764.578974] [HIGHMEM]: array[152] = [152]
Nov 10 11:59:12 rene-VirtualBox kernel: [ 4764.578974] [HIGHMEM]: array[153] = [153]
Nov 10 11:59:12 rene-VirtualBox kernel: [ 4764.578975] [HIGHMEM]: array[154] = [154]
Nov 10 11:59:12 rene-VirtualBox kernel: [ 4764.578975] [HIGHMEM]: array[155] = [155]
Nov 10 11:59:12 rene-VirtualBox kernel: [ 4764.578975] [HIGHMEM]: array[156] = [156]
Nov 10 11:59:12 rene-VirtualBox kernel: [ 4764.578976] [HIGHMEM]: array[157] = [157]
Nov 10 11:59:12 rene-VirtualBox kernel: [ 4764.578976] [HIGHMEM]: array[158] = [158]
Nov 10 11:59:12 rene-VirtualBox kernel: [ 4764.578976] [HIGHMEM]: array[159] = [159]
Nov 10 11:59:12 rene-VirtualBox kernel: [ 4764.578977] [HIGHMEM]: array[160] = [160]
Nov 10 11:59:12 rene-VirtualBox kernel: [ 4764.578977] [HIGHMEM]: array[161] = [161]
Nov 10 11:59:12 rene-VirtualBox kernel: [ 4764.578977] [HIGHMEM]: array[162] = [162]
Nov 10 11:59:12 rene-VirtualBox kernel: [ 4764.578978] [HIGHMEM]: array[163] = [163]
Nov 10 11:59:12 rene-VirtualBox kernel: [ 4764.578978] [HIGHMEM]: array[164] = [164]
Nov 10 11:59:12 rene-VirtualBox kernel: [ 4764.578978] [HIGHMEM]: array[165] = [165]
Nov 10 11:59:12 rene-VirtualBox kernel: [ 4764.578978] [HIGHMEM]: array[166] = [166]
Nov 10 11:59:12 rene-VirtualBox kernel: [ 4764.578979] [HIGHMEM]: array[167] = [167]
Nov 10 11:59:12 rene-VirtualBox kernel: [ 4764.578979] [HIGHMEM]: array[168] = [168]
Nov 10 11:59:12 rene-VirtualBox kernel: [ 4764.578979] [HIGHMEM]: array[169] = [169]
Nov 10 11:59:12 rene-VirtualBox kernel: [ 4764.578980] [HIGHMEM]: array[170] = [170]
Nov 10 11:59:12 rene-VirtualBox kernel: [ 4764.578980] [HIGHMEM]: array[171] = [171]
Nov 10 11:59:12 rene-VirtualBox kernel: [ 4764.578980] [HIGHMEM]: array[172] = [172]
Nov 10 11:59:12 rene-VirtualBox kernel: [ 4764.578981] [HIGHMEM]: array[173] = [173]
Nov 10 11:59:12 rene-VirtualBox kernel: [ 4764.578981] [HIGHMEM]: array[174] = [174]
Nov 10 11:59:12 rene-VirtualBox kernel: [ 4764.578981] [HIGHMEM]: array[175] = [175]
Nov 10 11:59:12 rene-VirtualBox kernel: [ 4764.578982] [HIGHMEM]: array[176] = [176]
Nov 10 11:59:12 rene-VirtualBox kernel: [ 4764.578982] [HIGHMEM]: array[177] = [177]
Nov 10 11:59:12 rene-VirtualBox kernel: [ 4764.578982] [HIGHMEM]: array[178] = [178]
Nov 10 11:59:12 rene-VirtualBox kernel: [ 4764.578983] [HIGHMEM]: array[179] = [179]
Nov 10 11:59:12 rene-VirtualBox kernel: [ 4764.578983] [HIGHMEM]: array[180] = [180]
Nov 10 11:59:12 rene-VirtualBox kernel: [ 4764.578983] [HIGHMEM]: array[181] = [181]
Nov 10 11:59:12 rene-VirtualBox kernel: [ 4764.578984] [HIGHMEM]: array[182] = [182]
Nov 10 11:59:12 rene-VirtualBox kernel: [ 4764.578984] [HIGHMEM]: array[183] = [183]
Nov 10 11:59:12 rene-VirtualBox kernel: [ 4764.578984] [HIGHMEM]: array[184] = [184]
Nov 10 11:59:12 rene-VirtualBox kernel: [ 4764.578985] [HIGHMEM]: array[185] = [185]
Nov 10 11:59:12 rene-VirtualBox kernel: [ 4764.578985] [HIGHMEM]: array[186] = [186]
Nov 10 11:59:12 rene-VirtualBox kernel: [ 4764.578985] [HIGHMEM]: array[187] = [187]
Nov 10 11:59:12 rene-VirtualBox kernel: [ 4764.578986] [HIGHMEM]: array[188] = [188]
Nov 10 11:59:12 rene-VirtualBox kernel: [ 4764.578986] [HIGHMEM]: array[189] = [189]
Nov 10 11:59:12 rene-VirtualBox kernel: [ 4764.578986] [HIGHMEM]: array[190] = [190]
Nov 10 11:59:12 rene-VirtualBox kernel: [ 4764.578987] [HIGHMEM]: array[191] = [191]
Nov 10 11:59:12 rene-VirtualBox kernel: [ 4764.578987] [HIGHMEM]: array[192] = [192]
Nov 10 11:59:12 rene-VirtualBox kernel: [ 4764.578987] [HIGHMEM]: array[193] = [193]
Nov 10 11:59:12 rene-VirtualBox kernel: [ 4764.578988] [HIGHMEM]: array[194] = [194]
Nov 10 11:59:12 rene-VirtualBox kernel: [ 4764.578988] [HIGHMEM]: array[195] = [195]
Nov 10 11:59:12 rene-VirtualBox kernel: [ 4764.578988] [HIGHMEM]: array[196] = [196]
Nov 10 11:59:12 rene-VirtualBox kernel: [ 4764.578989] [HIGHMEM]: array[197] = [197]
Nov 10 11:59:12 rene-VirtualBox kernel: [ 4764.578989] [HIGHMEM]: array[198] = [198]
Nov 10 11:59:12 rene-VirtualBox kernel: [ 4764.578989] [HIGHMEM]: array[199] = [199]
Nov 10 11:59:12 rene-VirtualBox kernel: [ 4764.578990] [HIGHMEM]: array[200] = [200]
Nov 10 11:59:12 rene-VirtualBox kernel: [ 4764.578990] [HIGHMEM]: array[201] = [201]
